product_id;product_name;product_class_id;product_category;product_subcategory;product_department;product_family
1;Washington Berry Juice;30;Pure Juice Beverages;Juice;Beverages;Drink
2;Washington Mango Drink;52;Drinks;Flavored Drinks;Beverages;Drink
3;Washington Strawberry Drink;52;Drinks;Flavored Drinks;Beverages;Drink
4;Washington Cream Soda;19;Carbonated Beverages;Soda;Beverages;Drink
5;Washington Diet Soda;19;Carbonated Beverages;Soda;Beverages;Drink
6;Washington Cola;19;Carbonated Beverages;Soda;Beverages;Drink
7;Washington Diet Cola;19;Carbonated Beverages;Soda;Beverages;Drink
8;Washington Orange Juice;30;Pure Juice Beverages;Juice;Beverages;Drink
9;Washington Cranberry Juice;30;Pure Juice Beverages;Juice;Beverages;Drink
10;Washington Apple Juice;30;Pure Juice Beverages;Juice;Beverages;Drink
11;Washington Apple Drink;52;Drinks;Flavored Drinks;Beverages;Drink
12;Jeffers Oatmeal;35;Breakfast Foods;Cereal;Breakfast Foods;Food
13;Jeffers Corn Puffs;35;Breakfast Foods;Cereal;Breakfast Foods;Food
14;Jeffers Wheat Puffs;35;Breakfast Foods;Cereal;Breakfast Foods;Food
15;Jeffers Grits;35;Breakfast Foods;Cereal;Breakfast Foods;Food
16;Blue Label Canned Beets;62;Vegetables;Canned Vegetables;Canned Foods;Food
17;Blue Label Creamed Corn;62;Vegetables;Canned Vegetables;Canned Foods;Food
18;Blue Label Canned String Beans;62;Vegetables;Canned Vegetables;Canned Foods;Food
19;Blue Label Chicken Soup;58;Canned Soup;Soup;Canned Foods;Food
20;Blue Label Canned Yams;62;Vegetables;Canned Vegetables;Canned Foods;Food
21;Blue Label Vegetable Soup;58;Canned Soup;Soup;Canned Foods;Food
22;Blue Label Canned Tomatos;62;Vegetables;Canned Vegetables;Canned Foods;Food
23;Blue Label Noodle Soup;58;Canned Soup;Soup;Canned Foods;Food
24;Blue Label Regular Ramen Soup;58;Canned Soup;Soup;Canned Foods;Food
25;Blue Label Chicken Noodle Soup;58;Canned Soup;Soup;Canned Foods;Food
26;Blue Label Turkey Noodle Soup;58;Canned Soup;Soup;Canned Foods;Food
27;Blue Label Beef Soup;58;Canned Soup;Soup;Canned Foods;Food
28;Blue Label Canned Peas;62;Vegetables;Canned Vegetables;Canned Foods;Food
29;Blue Label Chicken Ramen Soup;58;Canned Soup;Soup;Canned Foods;Food
30;Blue Label Canned Tuna in Water;93;Canned Tuna;Tuna;Canned Foods;Food
31;Blue Label Canned Tuna in Oil;93;Canned Tuna;Tuna;Canned Foods;Food
32;Blue Label Large Canned Shrimp;94;Canned Shrimp;Shrimp;Canned Foods;Food
33;Blue Label Fancy Canned Anchovies;95;Canned Anchovies;Anchovies;Canned Foods;Food
34;Blue Label Fancy Canned Clams;96;Canned Clams;Clams;Canned Foods;Food
35;Blue Label Fancy Canned Oysters;97;Canned Oysters;Oysters;Canned Foods;Food
36;Blue Label Fancy Canned Sardines;98;Canned Sardines;Sardines;Canned Foods;Food
37;Blue Label Rice Soup;58;Canned Soup;Soup;Canned Foods;Food
38;Green Ribbon Canned Mixed Fruit;3;Fruit;Canned Fruit;Canned Products;Food
39;Green Ribbon Canned Peaches;3;Fruit;Canned Fruit;Canned Products;Food
40;King Rosy Sunglasses;89;Specialty;Sunglasses;Carousel;Non-Consumable
41;Queen Eyeglass Screwdriver;103;Hardware;Screwdrivers;Checkout;Non-Consumable
42;Queen City Map;102;Miscellaneous;Maps;Checkout;Non-Consumable
43;Club Low Fat Cottage Cheese;15;Dairy;Cottage Cheese;Dairy;Food
44;Club Low Fat Sour Cream;14;Dairy;Sour Cream;Dairy;Food
45;Club Sour Cream;14;Dairy;Sour Cream;Dairy;Food
46;Club Jack Cheese;11;Dairy;Cheese;Dairy;Food
47;Club Muenster Cheese;11;Dairy;Cheese;Dairy;Food
48;Club String Cheese;11;Dairy;Cheese;Dairy;Food
49;Club Low Fat String Cheese;11;Dairy;Cheese;Dairy;Food
50;Club Havarti Cheese;11;Dairy;Cheese;Dairy;Food
51;Club Head Cheese;11;Dairy;Cheese;Dairy;Food
52;Club Cheese Spread;11;Dairy;Cheese;Dairy;Food
53;Club Sharp Cheddar Cheese;11;Dairy;Cheese;Dairy;Food
54;Club Mild Cheddar Cheese;11;Dairy;Cheese;Dairy;Food
55;Club Large Curd Cottage Cheese;15;Dairy;Cottage Cheese;Dairy;Food
56;Club 2% Milk;76;Dairy;Milk;Dairy;Drink
57;Club Buttermilk;76;Dairy;Milk;Dairy;Drink
58;Club Chocolate Milk;76;Dairy;Milk;Dairy;Drink
59;Club 1% Milk;76;Dairy;Milk;Dairy;Drink
60;Club Whole Milk;76;Dairy;Milk;Dairy;Drink
61;Club Strawberry Yogurt;6;Dairy;Yogurt;Dairy;Food
62;Club Blueberry Yogurt;6;Dairy;Yogurt;Dairy;Food
